id_osm,data_implementacao
987222192,2024-09-01
987222193,2024-09-01
987222194,2024-09-01
987223246,2024-09-01
987233553,2024-09-01
1078846549,2024-09-01
151583314,2024-09-01
151583315,2024-09-01
151583319,2024-09-01
24306336,2024-09-01
245014410,2024-09-01
245014411,2024-09-01
245014419,2024-09-01
251089757,2024-09-01
251092437,2024-09-01
251092835,2024-09-01
252684560,2024-09-01
261590250,2024-09-01
262596889,2024-09-01
262596891,2024-09-01
262596892,2024-09-01
264984104,2024-09-01
312297398,2024-09-01
337855377,2024-09-01
380850534,2024-09-01
381723749,2024-09-01
396324600,2024-09-01
396326050,2024-09-01
40271231,2024-09-01
410759283,2024-09-01
410759285,2024-09-01
423988868,2024-09-01
423988869,2024-09-01
423988870,2024-09-01
423988871,2024-09-01
431711354,2024-09-01
454930213,2024-09-01
709876643,2024-09-01
932652641,2024-09-01
932652642,2024-09-01
932652643,2024-09-01
932652644,2024-09-01
932653157,2024-09-01
935940479,2024-09-01
936142489,2024-09-01
936142490,2024-09-01
936142491,2024-09-01
936142492,2024-09-01
936435345,2024-09-01
936435346,2024-09-01
936435347,2024-09-01
1066397507,2024-09-01
1066397508,2024-09-01
1359862719,2024-09-01
15964549,2024-09-01
15964626,2024-09-01
191591068,2024-09-01
230636454,2024-09-01
230636456,2024-09-01
231392371,2024-09-01
237876563,2024-09-01
237876565,2024-09-01
241906990,2024-09-01
252274186,2024-09-01
252274187,2024-09-01
320124118,2024-09-01
404091940,2024-09-01
404091943,2024-09-01
415092140,2024-09-01
415092142,2024-09-01
423145312,2024-09-01
4331470,2024-09-01
4331477,2024-09-01
48651838,2024-09-01
49436030,2024-09-01
49436034,2024-09-01
524259148,2024-09-01
524259149,2024-09-01
660992335,2024-09-01
779584032,2024-09-01
8140928,2024-09-01
8140929,2024-09-01
837035510,2024-09-01
837042971,2024-09-01
837042972,2024-09-01
842291573,2024-09-01
866598780,2024-09-01
866598781,2024-09-01
929005448,2024-09-01
934342628,2024-09-01
934342629,2024-09-01
934342630,2024-09-01
934342631,2024-09-01
936396989,2024-09-01
936430622,2024-09-01
944016181,2024-09-01
125450904,2024-09-01
125450905,2024-09-01
183343597,2024-09-01
228034417,2024-09-01
252274185,2024-09-01
286269718,2024-09-01
286269719,2024-09-01
286269720,2024-09-01
286269722,2024-09-01
286269723,2024-09-01
4331384,2024-09-01
4617432,2024-09-01
524260421,2024-09-01
524260422,2024-09-01
524263470,2024-09-01
524264423,2024-09-01
524264424,2024-09-01
942346393,2024-09-01
125998386,2024-10-01
1269000895,2024-10-01
235556455,2024-10-01
235695412,2024-10-01
244936588,2024-10-01
244936589,2024-10-01
244936590,2024-10-01
336125986,2024-10-01
336125987,2024-10-01
336125988,2024-10-01
352366651,2024-10-01
651146576,2024-10-01
780541225,2024-10-01
780541226,2024-10-01
798553872,2024-10-01
798553873,2024-10-01
942342594,2024-10-01
942342595,2024-10-01
942664209,2024-10-01
944046860,2024-10-01
944046861,2024-10-01
944046862,2024-10-01
944048519,2024-10-01
944048520,2024-10-01
944283198,2024-10-01
944283199,2024-10-01
944863021,2024-10-01
977103459,2024-10-01
998173413,2024-10-01
227329053,2024-10-01
227329054,2024-10-01
227329287,2024-10-01
227329290,2024-10-01
227329925,2024-10-01
227329926,2024-10-01
236899684,2024-10-01
238328639,2024-10-01
238328643,2024-10-01
238445510,2024-10-01
238445511,2024-10-01
238497406,2024-10-01
244936592,2024-10-01
255583050,2024-10-01
255583051,2024-10-01
285807770,2024-10-01
292193465,2024-10-01
292193467,2024-10-01
377300851,2024-10-01
4363057,2024-10-01
4363081,2024-10-01
524491307,2024-10-01
661278314,2024-10-01
661278320,2024-10-01
661278325,2024-10-01
807808094,2024-10-01
920583055,2024-10-01
941866789,2024-10-01
941969868,2024-10-01
942735100,2024-10-01
942735101,2024-10-01
942963794,2024-10-01
944283196,2024-10-01
944285088,2024-10-01
944285089,2024-10-01
949851100,2024-10-01
949851101,2024-10-01
941969867,2024-10-01
153729959,2024-10-01
337873120,2024-10-01
396479675,2024-10-01
431576116,2024-10-01
431576117,2024-10-01
436133257,2024-10-01
44812634,2024-10-01
451905933,2024-10-01
4769567,2024-10-01
932915472,2024-10-01
244035449,2025-01-01
244035450,2025-01-01
251265978,2025-01-01
251265980,2025-01-01
326381019,2025-01-01
941842696,2025-01-01
941842697,2025-01-01
941850958,2025-01-01
941852309,2025-01-01
941868874,2025-01-01
942297822,2025-01-01
